timestamp,server_id,log_level,message,error_code
2026-01-01 07:26:00,srv-04,INFO,Connection timeout error,E004
2026-01-01 03:46:00,srv-02,INFO,Database query slow,E003
2026-01-08 16:29:00,srv-05,ERROR,CPU threshold exceeded,E001
2026-01-04 12:34:00,srv-05,WARNING,Disk usage at 90%,
2026-01-04 01:25:00,srv-04,CRITICAL,Authentication failed,E002
2026-01-02 04:15:00,srv-03,INFO,Network packet loss detected,
2026-01-01 00:52:00,srv-03,INFO,Service restarted successfully,E003
2026-01-01 11:59:00,srv-05,WARNING,Database query slow,E003
2026-01-08 02:45:00,srv-03,CRITICAL,Authentication failed,E001
2026-01-10 08:48:00,srv-03,ERROR,Database query slow,E002
2026-01-01 05:07:00,srv-01,INFO,Database query slow,E002
2026-01-08 15:21:00,srv-04,INFO,Network packet loss detected,E004
2026-01-08 13:18:00,srv-02,ERROR,Memory allocation failed,E002
2026-01-01 05:36:00,srv-04,INFO,Database query slow,E001
2026-01-03 04:09:00,srv-02,CRITICAL,Database query slow,E002
2026-01-07 22:31:00,srv-03,INFO,Connection timeout error,E003
2026-01-07 17:52:00,srv-04,ERROR,Authentication failed,E004
2026-01-08 15:17:00,srv-02,WARNING,Network packet loss detected,
2026-01-05 16:31:00,srv-02,INFO,Network packet loss detected,E003
2026-01-10 08:42:00,srv-05,ERROR,Authentication failed,E002
2026-01-08 18:15:00,srv-03,WARNING,CPU threshold exceeded,E003
2026-01-03 09:15:00,srv-05,INFO,Memory allocation failed,E002
2026-01-02 06:48:00,srv-04,CRITICAL,Database query slow,E001
2026-01-02 22:26:00,srv-03,INFO,CPU threshold exceeded,E002
2026-01-02 01:04:00,srv-05,INFO,CPU threshold exceeded,E001
2026-01-02 04:10:00,srv-04,INFO,Authentication failed,E001
2026-01-07 07:14:00,srv-03,WARNING,Database query slow,E004
2026-01-08 09:35:00,srv-02,WARNING,Service restarted successfully,
2026-01-07 19:03:00,srv-02,INFO,Service restarted successfully,
2026-01-04 09:57:00,srv-01,INFO,Connection timeout error,E002
2026-01-07 06:08:00,srv-05,CRITICAL,Database query slow,E001
2026-01-07 07:02:00,srv-04,WARNING,Network packet loss detected,E004
2026-01-09 12:21:00,srv-04,ERROR,Database query slow,E003
2026-01-06 03:31:00,srv-04,INFO,CPU threshold exceeded,E002
2026-01-02 11:05:00,srv-05,INFO,Authentication failed,E003
2026-01-01 20:51:00,srv-04,CRITICAL,Disk usage at 90%,E002
2026-01-05 01:49:00,srv-03,ERROR,Disk usage at 90%,E002
2026-01-08 12:48:00,srv-04,INFO,Authentication failed,E003
2026-01-03 18:45:00,srv-04,INFO,Database query slow,E001
2026-01-06 09:15:00,srv-05,INFO,Disk usage at 90%,E001
2026-01-08 17:59:00,srv-02,CRITICAL,Memory allocation failed,E004
2026-01-08 19:53:00,srv-03,CRITICAL,Service restarted successfully,E001
2026-01-03 07:54:00,srv-01,INFO,Memory allocation failed,
2026-01-10 17:18:00,srv-02,ERROR,Disk usage at 90%,
2026-01-10 13:42:00,srv-04,INFO,Database query slow,E001
2026-01-07 13:41:00,srv-01,WARNING,Connection timeout error,E002
2026-01-10 05:12:00,srv-04,ERROR,Network packet loss detected,E001
2026-01-02 10:04:00,srv-01,INFO,Service restarted successfully,E003
2026-01-01 04:09:00,srv-04,WARNING,CPU threshold exceeded,E001
2026-01-07 07:20:00,srv-02,WARNING,CPU threshold exceeded,E001
2026-01-06 05:31:00,srv-04,WARNING,Service restarted successfully,
2026-01-02 22:13:00,srv-03,INFO,Disk usage at 90%,E002
2026-01-01 16:48:00,srv-03,ERROR,Service restarted successfully,E001
2026-01-02 04:36:00,srv-05,INFO,Service restarted successfully,E003
2026-01-08 23:00:00,srv-01,ERROR,Disk usage at 90%,E004
2026-01-10 17:31:00,srv-03,WARNING,Memory allocation failed,E002
2026-01-03 18:46:00,srv-02,ERROR,Authentication failed,E002
2026-01-10 13:16:00,srv-05,ERROR,Disk usage at 90%,E004
2026-01-07 02:46:00,srv-02,INFO,Database query slow,E001
2026-01-05 15:26:00,srv-04,INFO,CPU threshold exceeded,E003
2026-01-04 05:27:00,srv-05,WARNING,CPU threshold exceeded,E001
2026-01-05 17:57:00,srv-02,ERROR,CPU threshold exceeded,E001
2026-01-08 12:50:00,srv-05,ERROR,Network packet loss detected,
2026-01-04 05:04:00,srv-02,INFO,Network packet loss detected,E003
2026-01-01 09:49:00,srv-05,ERROR,Network packet loss detected,E001
2026-01-01 01:11:00,srv-05,WARNING,Service restarted successfully,E002
2026-01-07 22:08:00,srv-05,INFO,Memory allocation failed,E001
2026-01-10 05:09:00,srv-02,WARNING,CPU threshold exceeded,E004
2026-01-06 13:02:00,srv-05,INFO,Network packet loss detected,E001
